#x	y	u	v
0.000977	0.000977	0.000000	0.000000
0.002930	0.000977	0.000001	0.000000
0.004883	0.000977	0.000002	0.000000
0.006836	0.000977	0.000004	0.000000
0.008789	0.000977	0.000005	0.000000
0.010742	0.000977	0.000007	0.000000
0.012695	0.000977	0.000008	0.000000
0.014648	0.000977	0.000010	0.000000
0.016602	0.000977	0.000012	0.000000
0.018555	0.000977	0.000013	0.000000
0.020508	0.000977	0.000015	0.000000
0.022461	0.000977	0.000016	0.000000
0.024414	0.000977	0.000018	0.000000
0.026367	0.000977	0.000020	0.000000
0.028320	0.000977	0.000021	0.000000
0.030273	0.000977	0.000023	0.000000
0.032227	0.000977	0.000024	0.000000
0.034180	0.000977	0.000026	0.000000
0.036133	0.000977	0.000028	0.000000
0.038086	0.000977	0.000029	0.000000
0.040039	0.000977	0.000031	0.000000
0.041992	0.000977	0.000032	0.000000
0.043945	0.000977	0.000034	0.000000
0.045898	0.000977	0.000035	0.000000
0.047852	0.000977	0.000037	0.000000
0.049805	0.000977	0.000039	0.000000
0.051758	0.000977	0.000040	0.000000
0.053711	0.000977	0.000042	0.000000
0.055664	0.000977	0.000043	0.000000
0.057617	0.000977	0.000045	0.000000
0.059570	0.000977	0.000046	0.000000
0.061523	0.000977	0.000048	0.000000
0.063477	0.000977	0.000050	0.000000
0.065430	0.000977	0.000051	0.000000
0.067383	0.000977	0.000053	0.000000
0.069336	0.000977	0.000054	0.000000
0.071289	0.000977	0.000056	0.000000
0.073242	0.000977	0.000057	0.000000
0.075195	0.000977	0.000059	0.000000
0.077148	0.000977	0.000060	0.000000
0.079102	0.000977	0.000062	0.000000
0.081055	0.000977	0.000064	0.000000
0.083008	0.000977	0.000065	0.000000
0.084961	0.000977	0.000067	0.000000
0.086914	0.000977	0.000068	0.000000
0.088867	0.000977	0.000070	0.000000
0.090820	0.000977	0.000071	0.000000
0.092773	0.000977	0.000073	0.000000
0.094727	0.000977	0.000074	0.000000
0.096680	0.000977	0.000076	0.000000
0.098633	0.000977	0.000077	0.000000
0.100586	0.000977	0.000079	0.000000
0.102539	0.000977	0.000080	0.000000
0.104492	0.000977	0.000082	0.000000
0.106445	0.000977	0.000083	0.000000
0.108398	0.000977	0.000085	0.000000
0.110352	0.000977	0.000086	0.000000
0.112305	0.000977	0.000088	0.000000
0.114258	0.000977	0.000089	0.000000
0.116211	0.000977	0.000091	0.000000
0.118164	0.000977	0.000092	0.000000
0.120117	0.000977	0.000094	0.000000
0.122070	0.000977	0.000095	0.000000
0.124023	0.000977	0.000097	0.000000
0.125977	0.000977	0.000098	0.000000
0.127930	0.000977	0.000100	0.000000
0.129883	0.000977	0.000101	0.000000
0.131836	0.000977	0.000103	0.000000
0.133789	0.000977	0.000104	0.000000
0.135742	0.000977	0.000106	0.000000
0.137695	0.000977	0.000107	0.000000
0.139648	0.000977	0.000108	0.000000
0.141602	0.000977	0.000110	0.000000
0.143555	0.000977	0.000111	0.000000
0.145508	0.000977	0.000113	0.000000
0.147461	0.000977	0.000114	0.000000
0.149414	0.000977	0.000116	0.000000
0.151367	0.000977	0.000117	0.000000
0.153320	0.000977	0.000118	0.000000
0.155273	0.000977	0.000120	0.000000
0.157227	0.000977	0.000121	0.000000
0.159180	0.000977	0.000123	0.000000
0.161133	0.000977	0.000124	0.000000
0.163086	0.000977	0.000125	0.000000
0.165039	0.000977	0.000127	0.000000
0.166992	0.000977	0.000128	0.000000
0.168945	0.000977	0.000130	0.000000
0.170898	0.000977	0.000131	0.000000
0.172852	0.000977	0.000132	0.000000
0.174805	0.000977	0.000134	0.000000
0.176758	0.000977	0.000135	0.000000
0.178711	0.000977	0.000136	0.000000
0.180664	0.000977	0.000138	0.000000
0.182617	0.000977	0.000139	0.000000
0.184570	0.000977	0.000140	0.000000
0.186523	0.000977	0.000142	0.000000
0.188477	0.000977	0.000143	0.000000
0.190430	0.000977	0.000144	0.000000
0.192383	0.000977	0.000146	0.000000
0.194336	0.000977	0.000147	0.000000
0.196289	0.000977	0.000148	0.000000
0.198242	0.000977	0.000150	0.000000
0.200195	0.000977	0.000151	0.000000
0.202148	0.000977	0.000152	0.000000
0.204102	0.000977	0.000153	0.000000
0.206055	0.000977	0.000155	0.000000
0.208008	0.000977	0.000156	0.000000
0.209961	0.000977	0.000157	0.000000
0.211914	0.000977	0.000158	0.000000
0.213867	0.000977	0.000160	0.000000
0.215820	0.000977	0.000161	0.000000
0.217773	0.000977	0.000162	0.000000
0.219727	0.000977	0.000163	0.000000
0.221680	0.000977	0.000165	0.000000
0.223633	0.000977	0.000166	0.000000
0.225586	0.000977	0.000167	0.000000
0.227539	0.000977	0.000168	0.000000
0.229492	0.000977	0.000169	0.000000
0.231445	0.000977	0.000171	0.000000
0.233398	0.000977	0.000172	0.000000
0.235352	0.000977	0.000173	0.000000
0.237305	0.000977	0.000174	0.000000
0.239258	0.000977	0.000175	0.000000
0.241211	0.000977	0.000176	0.000000
0.243164	0.000977	0.000178	0.000000
0.245117	0.000977	0.000179	0.000000
0.247070	0.000977	0.000180	0.000000
0.249023	0.000977	0.000181	0.000000
0.250977	0.000977	0.000182	0.000000
0.252930	0.000977	0.000183	0.000000
0.254883	0.000977	0.000184	0.000000
0.256836	0.000977	0.000185	0.000000
0.258789	0.000977	0.000187	0.000000
0.260742	0.000977	0.000188	0.000000
0.262695	0.000977	0.000189	0.000000
0.264648	0.000977	0.000190	0.000000
0.266602	0.000977	0.000191	0.000000
0.268555	0.000977	0.000192	0.000000
0.270508	0.000977	0.000193	0.000000
0.272461	0.000977	0.000194	0.000000
0.274414	0.000977	0.000195	0.000000
0.276367	0.000977	0.000196	0.000000
0.278320	0.000977	0.000197	0.000000
0.280273	0.000977	0.000198	0.000000
0.282227	0.000977	0.000199	0.000000
0.284180	0.000977	0.000200	0.000000
0.286133	0.000977	0.000201	0.000000
0.288086	0.000977	0.000202	0.000000
0.290039	0.000977	0.000203	0.000000
0.291992	0.000977	0.000204	0.000000
0.293945	0.000977	0.000205	0.000000
0.295898	0.000977	0.000206	0.000000
0.297852	0.000977	0.000207	0.000000
0.299805	0.000977	0.000208	0.000000
0.301758	0.000977	0.000209	0.000000
0.303711	0.000977	0.000210	0.000000
0.305664	0.000977	0.000211	0.000000
0.307617	0.000977	0.000211	0.000000
0.309570	0.000977	0.000212	0.000000
0.311523	0.000977	0.000213	0.000000
0.313477	0.000977	0.000214	0.000000
0.315430	0.000977	0.000215	0.000000
0.317383	0.000977	0.000216	0.000000
0.319336	0.000977	0.000217	0.000000
0.321289	0.000977	0.000218	0.000000
0.323242	0.000977	0.000218	0.000000
0.325195	0.000977	0.000219	0.000000
0.327148	0.000977	0.000220	0.000000
0.329102	0.000977	0.000221	0.000000
0.331055	0.000977	0.000222	0.000000
0.333008	0.000977	0.000222	0.000000
0.334961	0.000977	0.000223	0.000000
0.336914	0.000977	0.000224	0.000000
0.338867	0.000977	0.000225	0.000000
0.340820	0.000977	0.000226	0.000000
0.342773	0.000977	0.000226	0.000000
0.344727	0.000977	0.000227	0.000000
0.346680	0.000977	0.000228	0.000000
0.348633	0.000977	0.000229	0.000000
0.350586	0.000977	0.000229	0.000000
0.352539	0.000977	0.000230	0.000000
0.354492	0.000977	0.000231	0.000000
0.356445	0.000977	0.000231	0.000000
0.358398	0.000977	0.000232	0.000000
0.360352	0.000977	0.000233	0.000000
0.362305	0.000977	0.000233	0.000000
0.364258	0.000977	0.000234	0.000000
0.366211	0.000977	0.000235	0.000000
0.368164	0.000977	0.000235	0.000000
0.370117	0.000977	0.000236	0.000000
0.372070	0.000977	0.000237	0.000000
0.374023	0.000977	0.000237	0.000000
0.375977	0.000977	0.000238	0.000000
0.377930	0.000977	0.000238	0.000000
0.379883	0.000977	0.000239	0.000000
0.381836	0.000977	0.000240	0.000000
0.383789	0.000977	0.000240	0.000000
0.385742	0.000977	0.000241	0.000000
0.387695	0.000977	0.000241	0.000000
0.389648	0.000977	0.000242	0.000000
0.391602	0.000977	0.000242	0.000000
0.393555	0.000977	0.000243	0.000000
0.395508	0.000977	0.000243	0.000000
0.397461	0.000977	0.000244	0.000000
0.399414	0.000977	0.000244	0.000000
0.401367	0.000977	0.000245	0.000000
0.403320	0.000977	0.000245	0.000000
0.405273	0.000977	0.000246	0.000000
0.407227	0.000977	0.000246	0.000000
0.409180	0.000977	0.000247	0.000000
0.411133	0.000977	0.000247	0.000000
0.413086	0.000977	0.000248	0.000000
0.415039	0.000977	0.000248	0.000000
0.416992	0.000977	0.000249	0.000000
0.418945	0.000977	0.000249	0.000000
0.420898	0.000977	0.000249	0.000000
0.422852	0.000977	0.000250	0.000000
0.424805	0.000977	0.000250	0.000000
0.426758	0.000977	0.000250	0.000000
0.428711	0.000977	0.000251	0.000000
0.430664	0.000977	0.000251	0.000000
0.432617	0.000977	0.000251	0.000000
0.434570	0.000977	0.000252	0.000000
0.436523	0.000977	0.000252	0.000000
0.438477	0.000977	0.000252	0.000000
0.440430	0.000977	0.000253	0.000000
0.442383	0.000977	0.000253	0.000000
0.444336	0.000977	0.000253	0.000000
0.446289	0.000977	0.000254	0.000000
0.448242	0.000977	0.000254	0.000000
0.450195	0.000977	0.000254	0.000000
0.452148	0.000977	0.000254	0.000000
0.454102	0.000977	0.000255	0.000000
0.456055	0.000977	0.000255	0.000000
0.458008	0.000977	0.000255	0.000000
0.459961	0.000977	0.000255	0.000000
0.461914	0.000977	0.000255	0.000000
0.463867	0.000977	0.000256	0.000000
0.465820	0.000977	0.000256	0.000000
0.467773	0.000977	0.000256	0.000000
0.469727	0.000977	0.000256	0.000000
0.471680	0.000977	0.000256	0.000000
0.473633	0.000977	0.000256	0.000000
0.475586	0.000977	0.000257	0.000000
0.477539	0.000977	0.000257	0.000000
0.479492	0.000977	0.000257	0.000000
0.481445	0.000977	0.000257	0.000000
0.483398	0.000977	0.000257	0.000000
0.485352	0.000977	0.000257	0.000000
0.487305	0.000977	0.000257	0.000000
0.489258	0.000977	0.000257	0.000000
0.491211	0.000977	0.000257	0.000000
0.493164	0.000977	0.000257	0.000000
0.495117	0.000977	0.000257	0.000000
0.497070	0.000977	0.000257	0.000000
0.499023	0.000977	0.000257	0.000000
0.500977	0.000977	0.000258	0.000000
0.502930	0.000977	0.000258	0.000000
0.504883	0.000977	0.000257	0.000000
0.506836	0.000977	0.000257	0.000000
0.508789	0.000977	0.000257	0.000000
0.510742	0.000977	0.000257	0.000000
0.512695	0.000977	0.000257	0.000000
0.514648	0.000977	0.000257	0.000000
0.516602	0.000977	0.000257	0.000000
0.518555	0.000977	0.000257	0.000000
0.520508	0.000977	0.000257	0.000000
0.522461	0.000977	0.000257	0.000000
0.524414	0.000977	0.000257	0.000000
0.526367	0.000977	0.000257	0.000000
0.528320	0.000977	0.000257	0.000000
0.530273	0.000977	0.000256	0.000000
0.532227	0.000977	0.000256	0.000000
0.534180	0.000977	0.000256	0.000000
0.536133	0.000977	0.000256	0.000000
0.538086	0.000977	0.000256	0.000000
0.540039	0.000977	0.000256	0.000000
0.541992	0.000977	0.000255	0.000000
0.543945	0.000977	0.000255	0.000000
0.545898	0.000977	0.000255	0.000000
0.547852	0.000977	0.000255	0.000000
0.549805	0.000977	0.000255	0.000000
0.551758	0.000977	0.000254	0.000000
0.553711	0.000977	0.000254	0.000000
0.555664	0.000977	0.000254	0.000000
0.557617	0.000977	0.000254	0.000000
0.559570	0.000977	0.000253	0.000000
0.561523	0.000977	0.000253	0.000000
0.563477	0.000977	0.000253	0.000000
0.565430	0.000977	0.000252	0.000000
0.567383	0.000977	0.000252	0.000000
0.569336	0.000977	0.000252	0.000000
0.571289	0.000977	0.000251	0.000000
0.573242	0.000977	0.000251	0.000000
0.575195	0.000977	0.000251	0.000000
0.577148	0.000977	0.000250	0.000000
0.579102	0.000977	0.000250	0.000000
0.581055	0.000977	0.000250	0.000000
0.583008	0.000977	0.000249	0.000000
0.584961	0.000977	0.000249	0.000000
0.586914	0.000977	0.000249	0.000000
0.588867	0.000977	0.000248	0.000000
0.590820	0.000977	0.000248	0.000000
0.592773	0.000977	0.000247	0.000000
0.594727	0.000977	0.000247	0.000000
0.596680	0.000977	0.000246	0.000000
0.598633	0.000977	0.000246	0.000000
0.600586	0.000977	0.000245	0.000000
0.602539	0.000977	0.000245	0.000000
0.604492	0.000977	0.000244	0.000000
0.606445	0.000977	0.000244	0.000000
0.608398	0.000977	0.000243	0.000000
0.610352	0.000977	0.000243	0.000000
0.612305	0.000977	0.000242	0.000000
0.614258	0.000977	0.000242	0.000000
0.616211	0.000977	0.000241	0.000000
0.618164	0.000977	0.000241	0.000000
0.620117	0.000977	0.000240	0.000000
0.622070	0.000977	0.000240	0.000000
0.624023	0.000977	0.000239	0.000000
0.625977	0.000977	0.000238	0.000000
0.627930	0.000977	0.000238	0.000000
0.629883	0.000977	0.000237	0.000000
0.631836	0.000977	0.000237	0.000000
0.633789	0.000977	0.000236	0.000000
0.635742	0.000977	0.000235	0.000000
0.637695	0.000977	0.000235	0.000000
0.639648	0.000977	0.000234	0.000000
0.641602	0.000977	0.000233	0.000000
0.643555	0.000977	0.000233	0.000000
0.645508	0.000977	0.000232	0.000000
0.647461	0.000977	0.000231	0.000000
0.649414	0.000977	0.000231	0.000000
0.651367	0.000977	0.000230	0.000000
0.653320	0.000977	0.000229	0.000000
0.655273	0.000977	0.000229	0.000000
0.657227	0.000977	0.000228	0.000000
0.659180	0.000977	0.000227	0.000000
0.661133	0.000977	0.000226	0.000000
0.663086	0.000977	0.000226	0.000000
0.665039	0.000977	0.000225	0.000000
0.666992	0.000977	0.000224	0.000000
0.668945	0.000977	0.000223	0.000000
0.670898	0.000977	0.000222	0.000000
0.672852	0.000977	0.000222	0.000000
0.674805	0.000977	0.000221	0.000000
0.676758	0.000977	0.000220	0.000000
0.678711	0.000977	0.000219	0.000000
0.680664	0.000977	0.000218	0.000000
0.682617	0.000977	0.000218	0.000000
0.684570	0.000977	0.000217	0.000000
0.686523	0.000977	0.000216	0.000000
0.688477	0.000977	0.000215	0.000000
0.690430	0.000977	0.000214	0.000000
0.692383	0.000977	0.000213	0.000000
0.694336	0.000977	0.000212	0.000000
0.696289	0.000977	0.000211	0.000000
0.698242	0.000977	0.000211	0.000000
0.700195	0.000977	0.000210	0.000000
0.702148	0.000977	0.000209	0.000000
0.704102	0.000977	0.000208	0.000000
0.706055	0.000977	0.000207	0.000000
0.708008	0.000977	0.000206	0.000000
0.709961	0.000977	0.000205	0.000000
0.711914	0.000977	0.000204	0.000000
0.713867	0.000977	0.000203	0.000000
0.715820	0.000977	0.000202	0.000000
0.717773	0.000977	0.000201	0.000000
